log4j:WARN No appenders could be found for logger (org.apache.hadoop.util.Shell).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.




















+-------------------------+----------------------------+
| q2_results.hour_of_day  | q2_results.accident_count  |
+-------------------------+----------------------------+
| 0                       | 126229                     |
| 1                       | 115059                     |
| 2                       | 102400                     |
| 3                       | 92677                      |
| 4                       | 79435                      |
| 5                       | 74352                      |
| 6                       | 65543                      |
| 7                       | 69069                      |
| 8                       | 111859                     |
| 9                       | 171169                     |
| 10                      | 220335                     |
| 11                      | 204669                     |
| 12                      | 164603                     |
| 13                      | 157204                     |
| 14                      | 172945                     |
| 15                      | 213453                     |
| 16                      | 245682                     |
| 17                      | 290731                     |
| 18                      | 331333                     |
| 19                      | 335710                     |
| 20                      | 328208                     |
| 21                      | 242557                     |
| 22                      | 166724                     |
| 23                      | 136092                     |
+-------------------------+----------------------------+
